objectid,filename,youtubeid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,goblin_morning.mp4,,Morning on Goblin Knob,Storying Extinction,2021-03-21,Trail cam footage from Goblin Knob in late winter,snow;mountains;trees;lichen,Goblin Knob,48.670743,-116.751042,,,Video,video/mp4,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,goblin_night.mp4,,Night on Goblin Knob,Storying Extinction,03-21-2021,Trail cam footage from Goblin Knob at night in late winter,dark;snow;mountains;trees;lichen,Goblin Knob,48.670743,-116.751042,,,Video,video/mp4,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll003,goblin_flock.mp4,,Flock of birds ,Storying Extinction,03-23-2021,Trail cam footage of birds on Goblin Knob in late winter,birds;snow;trees;mountains;lichen,Goblin Knob,48.670743,-116.751042,,,Video,video/mp4,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll004,goblin_flock 2.mp4,,Flock of birds 2,Storying Extinction,03-23-2021,Trail cam footage of birds on Goblin Knob in late winter,birds;snow;trees;mountains;lichen,Goblin Knob,48.670743,-116.751042,,,Video,video/mp4,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll005,leaning_in.jpg,,Doe passes cam right,Storying Extinction,03-25-2021,Trail cam footage of doe near two mouth creek,doe;creek;trees,Two Mouth Creek,48.66788,-116.777446,,,Image;stillImage,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll006,creek_doe.mp4,,Whitetail doe approaches two mouth creek,Storying Extinction,04-30-2021,Trail cam footage of doe near two mouth creek,doe;creek;trees,Two Mouth Creek,48.66788,-116.777446,,,Video,video/mp4,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll007,creek_spike.mp4,,Whitetail spike approaches two mouth creek,Storying Extinction,05-01-2021,Trail cam footage of whitetail spike near two mouth creek,doe;creek;trees,Two Mouth Creek,48.66788,-116.777446,,,Video,video/mp4,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll008,creek_doe_rumps.mp4,,Three whitetail does walking along creek,Storying Extinction,04-30-2021,Trail cam footage of three whitetails walking along two mouth creek,whitetail;creek;evening;trees,Two Mouth Creek,48.66788,-116.777446,,,Video,video/mp4,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll009,duo_in_the_distance.mp4,,Two whitetails in the distance,Storying Extinction,05-03-2021,Trail cam footage of two whitetails walking away from camera on Two Mouth Creek,whitetail;creek;evening;trees,Two Mouth Creek,48.66788,-116.777446,,,Video,video/mp4,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll010,all_ears.mp4,,Whitetai listens carefully along creek,Storying Extinction,05-03-2021,Trail cam footage of whitetail investigating along Two Mouth Creek,whitetail;trio;creek;lichen;trees,Two Mouth Creek,48.66788,-116.777446,,,Video,video/mp4,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
